(26412603, 0)
(19657054, 1)
(10948818, 0)
(19320739, 1)
(10915019, 0)
(11215719, 1)
(19100828, 1)
(22071105, 0)
(30696980, 0)
(23526514, 2)
(796077, 0)
(36796354, 0)
(29677382, 1)
(582940, 2)
(21538434, 2)
(11132621, 0)
(37575533, 1)
(4773365, 1)
(19701343, 2)
(30717575, 1)
(28147528, 0)
(30617282, 1)
(36106319, 1)
(30882928, 1)
(19317245, 1)
(16583982, 1)
(25332174, 0)
(35426607, 1)
(30847934, 1)
(14975925, 0)
(34326004, 3)
(20275650, 1)
(16707103, 2)
(29078428, 0)
(2045075, 1)
(5478239, 0)
(15306531, 0)
(32758720, 0)
(32755751, 0)
(23413322, 1)
(32602187, 0)
(26235896, 1)
(24388019, 1)
(30134176, 2)
(23259524, 0)
(16711561, 0)
(13857331, 1)
(13726256, 2)
(13899115, 0)
(36332057, 0)
(27037458, 1)
(1400245, 1)
(16345945, 2)
(34808623, 0)
(37472922, 4)
(17405224, 0)
(2316289, 0)
(23787507, 1)
(3879716, 1)
(37318136, 0)
(22772972, 1)
(34532318, 0)
(2140313, 1)
(36990165, 1)
(26415612, 8)
(17161586, 1)
(24536179, 0)
(12483786, 0)
(34895137, 0)
(25971320, 0)
(24768286, 0)
(15783476, 2)
(25445670, 1)
(18719618, 1)
(19388363, 0)
(25152859, 1)
(4824988, 1)
(14328089, 1)
(4848376, 1)
(3790354, 1)
(34066931, 1)
(15983848, 2)
(31110773, 0)
(12381480, 0)
(5448112, 2)
(7351969, 1)
(35284614, 3)
(3575792, 0)
(17180590, 0)
(20188595, 0)
(1317729, 0)
(10810756, 1)
(17865902, 0)
(32595456, 1)
(30155484, 4)
(36834554, 1)
(10886568, 1)
(10790165, 2)
(17345493, 2)
(21095604, 0)
(31325451, 0)
(10875490, 0)
(20642466, 2)
(10303361, 0)
(22010558, 1)
(2346914, 0)
(13544803, 0)
(36154990, 1)
(8354817, 1)
(22058539, 0)
(14675677, 2)
(6929151, 1)
(9442879, 2)
(9114281, 2)
(5038096, 2)
(21901331, 0)
(24561619, 2)
(6283703, 0)
(7675033, 1)
(22456070, 0)
(4310378, 0)
(13226520, 0)
(26657219, 5)
(21957083, 0)
(24150705, 3)
(21893065, 2)
(2260988, 3)
(1871129, 0)
(21535447, 0)
(7249182, 1)
(21462856, 0)
(6613708, 1)
(2943181, 1)
(34633647, 0)
(36694115, 1)
(34757597, 0)
(4039138, 0)
(27387515, 1)
(13617589, 0)
(25460664, 1)
(2425157, 1)
(26172852, 0)
(31388813, 6)
(20286332, 4)
(14333909, 1)
(19491217, 0)
(36012508, 2)
