(17335003, 1)
(3844360, 0)
(30317177, 0)
(35349290, 0)
(34785683, 0)
(21157119, 0)
(31599958, 0)
(14825988, 0)
(20591451, 0)
(37262949, 4)
(20080588, 0)
(13261455, 0)
(31871974, 0)
(35452383, 1)
(31325372, 0)
(478655, 1)
(22887721, 0)
(8300808, 0)
(23838822, 1)
(8997894, 0)
(7636860, 0)
(29526878, 0)
(26144712, 1)
(1778846, 2)
(21923249, 1)
(24871242, 0)
(4709312, 0)
(13575724, 0)
(35077763, 0)
(32166334, 2)
(32274543, 1)
(6482308, 0)
(21901736, 0)
(13534920, 2)
(4161629, 1)
(31265282, 2)
(7884959, 1)
(14337836, 2)
(36898715, 1)
(16735761, 1)
(23922996, 0)
(32317241, 0)
(36807039, 2)
(27043693, 0)
(17748575, 1)
(2919794, 0)
(225086, 1)
(16920763, 1)
(36874246, 1)
(19917173, 2)
(9204112, 0)
(34104435, 0)
(18230340, 1)
(21838473, 1)
(34498234, 1)
(24373763, 0)
(14938120, 0)
(8642420, 0)
(19606562, 0)
(15664101, 0)
(25918906, 2)
(28016639, 0)
(10915532, 0)
(30317690, 0)
(27531290, 3)
(34796349, 0)
(23255362, 0)
(37221147, 1)
(14786223, 0)
(32107613, 0)
(16476413, 1)
(36409908, 4)
(16847597, 0)
(33638238, 0)
(21002633, 2)
(33072570, 0)
(7218865, 1)
(22426735, 1)
(36926443, 1)
(30826617, 1)
(33665542, 1)
(33482272, 1)
(20369978, 1)
(34544210, 2)
(8408125, 0)
(23838022, 0)
(31596909, 2)
(35773448, 1)
(20139002, 0)
(13440654, 1)
(30055199, 1)
(29497196, 0)
(33191368, 0)
(8800815, 0)
(21842950, 0)
(17937057, 3)
(1516249, 1)
(28438719, 0)
(34457878, 0)
(18498580, 2)
(30188473, 0)
(35738457, 0)
(9481136, 0)
(37521354, 0)
(28267823, 0)
(35916378, 0)
(18803750, 1)
(13041108, 1)
(16379325, 1)
(21902410, 1)
(17276758, 0)
(11624955, 1)
(35636167, 0)
(19873596, 0)
(26951633, 0)
(30274896, 1)
(15956121, 0)
(15767435, 1)
(34759129, 2)
(18271959, 0)
(14596792, 0)
(15954650, 0)
(23781253, 0)
(8836681, 0)
(33367878, 2)
(17821463, 1)
(7974442, 3)
(17683151, 0)
(29354062, 1)
(21682774, 3)
(32281557, 0)
(14411633, 2)
(29106850, 0)
(26242154, 0)
(17424737, 1)
(33315716, 0)
(1288498, 0)
(34412529, 1)
(17240545, 0)
(36070541, 2)
(37537609, 1)
(19304218, 0)
(16929968, 3)
(27188983, 0)
(10366885, 0)
(29504938, 0)
(7758276, 0)
(18502197, 0)
(23431656, 0)
(6380405, 2)
(29912306, 4)
(28253085, 1)
(33644777, 0)
(24958106, 1)
(22478449, 1)
(34569073, 1)
(8898131, 0)
(28627009, 0)
(12834196, 0)
(32242213, 2)
(8805601, 1)
(13919006, 0)
(29579741, 1)
(15081542, 1)
(31310705, 1)
(29074749, 0)
(29854530, 0)
(31949721, 0)
(30203256, 2)
(18809627, 0)
(29694066, 0)
(3898010, 0)
(3627270, 0)
(36611170, 0)
(19313936, 0)
(11964540, 0)
(26821622, 1)
(26146623, 0)
(9100612, 0)
(37260478, 1)
(21377031, 0)
(30245090, 1)
(33966973, 0)
(8251541, 0)
(29040449, 1)
(22788574, 1)
(3744382, 0)
(7128233, 2)
(35906214, 1)
(35905200, 1)
(37044985, 0)
(19797709, 1)
(23112160, 4)
(7349411, 0)
(24133114, 0)
(31221442, 0)
(35681392, 0)
(21998387, 0)
(8187835, 2)
(18843469, 0)
(22445664, 1)
(31965205, 0)
(23540870, 0)
(6747360, 0)
(28133018, 1)
(15854878, 2)
(22746480, 2)
(19808084, 0)
(26762081, 1)
(33454108, 0)
(32928115, 0)
(8924054, 1)
(33710047, 0)
(27401211, 1)
(19804584, 0)
(37328469, 0)
(33516364, 7)
(10079496, 0)
(1915170, 0)
(29254995, 2)
(866000, 0)
(32861587, 0)
(33461811, 1)
(19487149, 0)
(8252387, 2)
(13049644, 1)
(30886726, 1)
(28554078, 2)
(26528829, 0)
(12555793, 2)
(19671705, 0)
(16406329, 1)
(25656475, 0)
(24093387, 0)
(32888766, 1)
(28229306, 0)
(7433780, 1)
(33496444, 1)
(25170086, 2)
(2762058, 0)
(23215521, 0)
(32605201, 0)
(11430331, 0)
(16306572, 1)
(23747116, 0)
(3637986, 0)
(21346440, 0)
(20902519, 2)
(5890304, 0)
(3637732, 1)
(8717019, 0)
(9247538, 0)
(33113338, 0)
(15232734, 2)
(20460723, 2)
(35948907, 0)
(35632580, 3)
(18415068, 0)
(33878579, 0)
(22075448, 0)
(20560795, 1)
(27456890, 1)
(9203994, 0)
(9153844, 0)
(20844528, 1)
(34321209, 0)
(27078187, 1)
(13365075, 0)
(33703542, 1)
(22381374, 1)
(10971706, 0)
(19882641, 0)
(26952189, 0)
(16152125, 2)
(35847990, 0)
(32611619, 5)
(15456639, 2)
(25744688, 1)
(30154488, 1)
(37664113, 1)
(20256573, 0)
(18696944, 0)
(29391577, 2)
(37281772, 0)
(22316489, 0)
(1303047, 0)
(27419563, 1)
(32491532, 0)
(20188308, 2)
(19345359, 0)
(6878032, 0)
(30630382, 0)
(36876475, 0)
(36688815, 2)
(10256250, 3)
(8573254, 0)
(17114338, 2)
(29509590, 0)
(3946898, 1)
(37475963, 1)
(15148841, 1)
(37434599, 1)
(1939107, 0)
(36636053, 1)
(19600195, 1)
(19280176, 2)
(30470822, 2)
(36610441, 0)
(19297119, 2)
(14507858, 0)
(10265959, 0)
(36567535, 2)
(37352031, 9)
(17602586, 0)
(26536392, 0)
(28187921, 1)
(28700173, 1)
(31262382, 2)
(11652457, 1)
(25950635, 0)
(35125081, 0)
(30393367, 0)
(12845112, 2)
(14063828, 2)
(36277464, 1)
(30660816, 1)
(21438093, 0)
(21555419, 1)
(2368337, 1)
(8220290, 1)
(26327137, 5)
(32067054, 1)
(21503851, 1)
(34261390, 0)
(24829843, 0)
